GA,GF,GW,opponent,opponent_name,team,team_name,was_home,pts_won,pts_total,rating,rating_standardized,binned_rating
11,13,8,3,BOU,1,ARS,1,3,15,17,0.5087476107562151,5
12,13,8,14,NOR,2,AVL,0,3,8,9,-0.16397650264043287,3
13,13,8,1,ARS,3,BOU,0,0,11,11,0.00420452570872911,4
10,8,8,17,TOT,4,BHA,1,3,9,7,-0.3321575309895949,3
9,11,8,8,EVE,5,BUR,1,3,12,14,0.2564760682324721,4
14,18,8,16,SOU,6,CHE,0,3,14,18,0.5928381249307961,5
8,8,8,19,WHU,7,CRY,0,3,14,14,0.2564760682324721,4
13,6,8,5,BUR,8,EVE,0,0,7,0,-0.9207911302116618,2
7,14,8,10,LIV,9,LEI,0,0,14,21,0.8451096674545391,5
6,20,8,9,LEI,10,LIV,1,3,24,38,2.274648408422416,6
9,27,8,20,WOL,11,MCI,1,0,16,34,1.938286351724092,6
8,9,8,13,NEW,12,MUN,0,0,9,10,-0.07988598846585189,3
13,5,8,12,MUN,13,NEW,1,3,8,0,-0.9207911302116618,2
21,10,8,2,AVL,14,NOR,1,0,6,-5,-1.3412437010845668,1
7,7,8,18,WAT,15,SHU,0,1,9,9,-0.16397650264043287,3
